id,jozz,sura_no,page,aya_no
648,6,4,103,155
649,6,4,103,156
650,6,4,103,157
651,6,4,103,158
652,6,4,103,159
653,6,4,103,160
654,6,4,103,161
655,6,4,103,162
656,6,4,104,163
657,6,4,104,164
658,6,4,104,165
659,6,4,104,166
660,6,4,104,167
661,6,4,104,168
662,6,4,104,169
663,6,4,104,170
664,6,4,105,171
665,6,4,105,172
666,6,4,105,173
667,6,4,105,174
668,6,4,105,175
669,6,4,106,176
670,6,5,106,1
671,6,5,106,2
672,6,5,107,3
673,6,5,107,4
674,6,5,107,5
675,6,5,108,6
676,6,5,108,7
677,6,5,108,8
678,6,5,108,9
679,6,5,109,10
680,6,5,109,11
681,6,5,109,12
682,6,5,109,13
683,6,5,110,14
684,6,5,110,15
685,6,5,110,16
686,6,5,110,17
687,6,5,111,18
688,6,5,111,19
689,6,5,111,20
690,6,5,111,21
691,6,5,111,22
692,6,5,111,23
693,6,5,112,24
694,6,5,112,25
695,6,5,112,26
696,6,5,112,27
697,6,5,112,28
698,6,5,112,29
699,6,5,112,30
700,6,5,112,31
701,6,5,113,32
702,6,5,113,33
703,6,5,113,34
704,6,5,113,35
705,6,5,113,36
706,6,5,114,37
707,6,5,114,38
708,6,5,114,39
709,6,5,114,40
710,6,5,114,41
711,6,5,115,42
712,6,5,115,43
713,6,5,115,44
714,6,5,115,45
715,6,5,116,46
716,6,5,116,47
717,6,5,116,48
718,6,5,116,49
719,6,5,116,50
720,6,5,117,51
721,6,5,117,52
722,6,5,117,53
723,6,5,117,54
724,6,5,117,55
725,6,5,117,56
726,6,5,117,57
727,6,5,118,58
728,6,5,118,59
729,6,5,118,60
730,6,5,118,61
731,6,5,118,62
732,6,5,118,63
733,6,5,118,64
734,6,5,119,65
735,6,5,119,66
736,6,5,119,67
737,6,5,119,68
738,6,5,119,69
739,6,5,119,70
740,6,5,120,71
741,6,5,120,72
742,6,5,120,73
743,6,5,120,74
744,6,5,120,75
745,6,5,120,76
746,6,5,120,77
747,6,5,121,78
748,6,5,121,79
749,6,5,121,80
750,6,5,121,81
751,7,5,121,82
752,7,5,121,83
753,7,5,122,84
754,7,5,122,85
755,7,5,122,86
756,7,5,122,87
757,7,5,122,88
758,7,5,122,89
759,7,5,122,90
760,7,5,123,91
761,7,5,123,92
762,7,5,123,93
763,7,5,123,94
764,7,5,123,95
765,7,5,124,96
766,7,5,124,97
767,7,5,124,98
768,7,5,124,99
769,7,5,124,100
770,7,5,124,101
771,7,5,124,102
772,7,5,124,103
773,7,5,125,104
774,7,5,125,105
775,7,5,125,106
776,7,5,125,107
777,7,5,125,108
778,7,5,126,109
779,7,5,126,110
780,7,5,126,111
781,7,5,126,112
782,7,5,126,113
783,7,5,127,114
784,7,5,127,115
785,7,5,127,116
786,7,5,127,117
787,7,5,127,118
788,7,5,127,119
789,7,5,127,120
790,7,6,128,1
791,7,6,128,2
792,7,6,128,3
793,7,6,128,4
794,7,6,128,5
795,7,6,128,6
796,7,6,128,7
797,7,6,128,8
798,7,6,129,9
799,7,6,129,10
800,7,6,129,11
801,7,6,129,12
802,7,6,129,13
803,7,6,129,14
804,7,6,129,15
805,7,6,129,16
806,7,6,129,17
807,7,6,129,18
808,7,6,130,19
809,7,6,130,20
810,7,6,130,21
811,7,6,130,22
812,7,6,130,23
813,7,6,130,24
814,7,6,130,25
815,7,6,130,26
816,7,6,130,27
817,7,6,131,28
818,7,6,131,29
819,7,6,131,30
820,7,6,131,31
821,7,6,131,32
822,7,6,131,33
823,7,6,131,34
824,7,6,131,35
